point_key,point_id,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,MLEN,VLEN,BLEN,HLEN,MATRIX_SRAM_DEPTH,VECTOR_SRAM_DEPTH,INT_SRAM_DEPTH,FP_SRAM_DEPTH,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,FP_SETTING,INT_DATA_WIDTH,MX_SCALE_WIDTH,HBM_M_Prefetch_Amount,HBM_V_Prefetch_Amount,HBM_V_Writeback_Amount,preset,hier_plena_area,hier_matrix_machine_area,hier_vector_machine_area,hier_scalar_machine_area,hier_scalar_fp_sram_wrapper_area,hier_scalar_int_sram_wrapper_area,hier_hbm_system_area,hier_matrix_sram_wrapper_area,hier_vector_sram_wrapper_area,_source_csv
full_chip_115f4f76c718,area_new_full_chip_baseline,plena,plena,complete,0,2246.411,44242.018008,,,,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/reports/full_chip_115f4f76c718,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/reports/full_chip_115f4f76c718/summary.log,,16,16,4,8,32,32,32,20,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,smallest-v1,44242.018,10716.2124,9045.3007,646.2731,0.1312,0.1312,17473.5028,712.8016,2610.6073,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/calibration_points.csv
full_chip_789e13d1187a,area_new_full_chip_high_mxint,plena,plena,complete,2,2435.555,48756.991996,,,,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/reports/full_chip_789e13d1187a,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/reports/full_chip_789e13d1187a/summary.log,,16,16,4,8,32,32,32,20,MXINT8,MXINT8,MXINT8,FP_E5M6,32,8,16,16,16,smallest-v1,48756.992,15146.4911,9045.3007,646.2731,0.1312,0.1312,16675.5686,949.0122,3257.0262,Workspace/area_new_full_chip_calibration/runs/smallest_v1_20260706_092801/calibration_points.csv
full_chip_98470ac77c90,p2_full_chip_mxfp_e4m3_small,plena,plena,complete,10,3429.981,60190.248737,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_d0e83cb3a6ec2b55,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_d0e83cb3a6ec2b55/summary.log,,16,16,4,8,32,32,32,20,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,FP_E5M6,32,8,16,16,16,explicit,60190.2487,26670.4501,9045.4756,646.2731,0.1312,0.1312,16727.8525,949.0122,3113.9235,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
full_chip_c2728116014b,full_chip_m32_v32_b16_h32_mxint4,plena,plena,complete,3,40583.342,179362.808204,,,,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_e4d0139cdb2d66b4,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_e4d0139cdb2d66b4/summary.log,,32,32,16,32,64,65,32,36,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,179362.8082,121122.3428,17553.5179,724.903,0.1312,0.1312,29039.2335,2512.0903,5297.2347,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/calibration_points.csv
full_chip_0379c20dc457,full_chip_m32_v32_b4_h32_mxint4,plena,plena,complete,0,5343.443,75882.075614,,,,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_a31382b8dc78736b,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_a31382b8dc78736b/summary.log,,32,32,4,32,64,65,32,36,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,75882.0756,17319.5964,17553.0805,724.903,0.1312,0.1312,29233.8765,2510.4281,5426.0198,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/calibration_points.csv
full_chip_c23fdbdf46dc,p2_full_chip_shape32_baseline,plena,plena,complete,4,3460.765,75837.169214,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_2b12d7a52456f1f1,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_2b12d7a52456f1f1/summary.log,,32,32,4,8,32,32,32,20,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,75837.1692,17319.5672,17553.5179,723.7949,0.1312,0.1312,29227.7237,2509.0868,5389.3074,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
full_chip_b0fd34f2f49d,p2_full_chip_shape32_high_mxint,plena,plena,complete,3,3833.354,84030.852136,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_b0af171f23abeedb,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_b0af171f23abeedb/summary.log,,32,32,4,8,32,32,32,20,MXINT8,MXINT8,MXINT8,FP_E5M6,32,8,16,16,16,explicit,84030.8521,24975.4522,17553.5762,723.7949,0.1312,0.1312,27665.9288,3315.7836,6682.1452,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
full_chip_60318570f7a0,full_chip_m32_v32_b8_h32_mxfp_e4m3,plena,plena,complete,2,31333.271,162625.697066,,,,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_1a597dca1cfe5579,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_1a597dca1cfe5579/summary.log,,32,32,8,32,64,65,32,36,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,FP_E5M6,32,8,16,16,16,explicit,162625.6971,103961.8722,17553.547,724.903,0.1312,0.1312,27647.3101,3317.125,6307.4975,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/calibration_points.csv
full_chip_ad4c24b6dace,full_chip_m32_v32_b8_h32_mxint4,plena,plena,complete,0,7076.289,101288.468943,,,,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_bce6621136490e86,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_bce6621136490e86/summary.log,,32,32,8,32,64,65,32,36,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,101288.4689,42946.3227,17553.7657,724.903,0.1312,0.1312,29104.7706,2511.1717,5334.1513,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/calibration_points.csv
full_chip_358ebb7b2c2e,full_chip_m32_v32_b8_h32_mxint8,plena,plena,complete,1,11779.151,119283.031868,,,,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_44a7fd28780e1942,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_44a7fd28780e1942/summary.log,,32,32,8,32,64,65,32,36,MXINT8,MXINT8,MXINT8,FP_E5M6,32,8,16,16,16,explicit,119283.0319,60407.3013,17553.8678,724.903,0.1312,0.1312,27540.5408,3317.125,6625.8518,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/calibration_points.csv
full_chip_58150b675665,p2_full_chip_shape32_b8_baseline,plena,plena,complete,7,6969.422,101241.156843,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_38f35a6e8af4ee66,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/full_chip_38f35a6e8af4ee66/summary.log,,32,32,8,8,32,32,32,20,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,101241.1568,42946.3227,17553.6928,723.7366,0.1312,0.1312,29099.5655,2509.8304,5294.6249,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
full_chip_505de7c2c63a,full_chip_m64_v64_b16_h64_mxint4,plena,plena,complete,2,80656.07,286035.831372,,,,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_dd6a8542a169da53,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_dd6a8542a169da53/summary.log,,64,64,16,64,128,129,32,68,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,286035.8314,174436.2991,34571.5415,877.2348,0.1312,0.1312,52330.9581,9145.1446,11408.6604,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/calibration_points.csv
full_chip_b0dfed482516,full_chip_m64_v64_b16_h64_mxint8,plena,plena,complete,3,92706.48,357932.79952,,,,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_c5d8337a00d3f796,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_c5d8337a00d3f796/summary.log,,64,64,16,64,128,129,32,68,MXINT8,MXINT8,MXINT8,FP_E5M6,32,8,16,16,16,explicit,357932.7995,243965.9854,34573.2036,877.2348,0.1312,0.1312,49342.8456,12150.2138,13756.8277,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/calibration_points.csv
full_chip_6039cdd907c7,full_chip_m64_v64_b4_h64_mxint4,plena,plena,complete,4,11908.805,142841.541298,,,,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_7e4e8c99e3afbd87,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/reports/full_chip_7e4e8c99e3afbd87/summary.log,,64,64,4,64,128,129,32,68,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,142841.5413,30574.9157,34571.6144,877.2348,0.1312,0.1312,52731.879,9144.3427,11674.7745,Workspace/area_new_scheduler/runs/full_chip_extra_small_v1_w6_20260712_170303/calibration_points.csv
full_chip_c5585f449f78,full_chip_m64_v64_b8_h64_mxint4,plena,plena,complete,1,17141.018,180989.848428,,,,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_31de21336560ad3e,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/reports/full_chip_31de21336560ad3e/summary.log,,64,64,8,64,128,129,32,68,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,180989.8484,69256.4572,34570.5792,877.2348,0.1312,0.1312,52411.95,9123.435,11485.3949,Workspace/area_new_scheduler/runs/full_chip_small_anchors_v1_w7_20260711_105919/calibration_points.csv
full_chip_f820e14f5a07,p2_full_chip_shape64_baseline,plena,plena,complete,0,16052.772,180898.54847,,,,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/reports/full_chip_fd6acf4ef051098d,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/reports/full_chip_fd6acf4ef051098d/summary.log,,64,64,8,8,128,32,32,68,MXINT4,MXINT4,MXINT4,FP_E5M6,32,8,16,16,16,explicit,180898.5485,69258.1776,34570.7688,877.2348,0.1312,0.1312,52418.511,9127.0508,11381.9498,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/calibration_points.csv
full_chip_bcfd698f729a,p2_full_chip_shape64_high_mxint,plena,plena,complete,1,19078.188,213717.865734,,,,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/reports/full_chip_5d9ac0e2e579c272,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/reports/full_chip_5d9ac0e2e579c272/summary.log,,64,64,8,8,128,32,32,68,MXINT8,MXINT8,MXINT8,FP_E5M6,32,8,16,16,16,explicit,213717.8657,99403.7415,34572.4017,877.2348,0.1312,0.1312,49475.7277,12150.2138,13972.3784,Workspace/area_new_scheduler/runs/fullchip_shape64_retry_20260709_135853/calibration_points.csv
