trial,tag,fmt,block,gptq,W,A,KV,cont_ppl,cost_mb_per_token,w_eff_bits,a_eff_bits,kv_eff_bits,weight_MB_per_token,kv_MB_per_token,eval_seconds,error
0,W:MXINT8 A:MXINT8 KV:MXINT8 b32,mxint,32,False,MXINT8,MXINT8,MXINT8,10.5868,3653.321,8.25,8.25,8.25,1274.364,2378.957,19.6,
376,W:MXINT8 A:MXINT8 KV:MXINT8 b64,mxint,64,False,MXINT8,MXINT8,MXINT8,10.6043,3597.967,8.125,8.125,8.125,1255.055,2342.912,17.3,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b16,mxint,16,True,MXINT4,MXINT8,MXINT4,11.8257,1992.72,4.5,8.5,4.5,695.108,1297.613,8991.8,
71,W:MXINT4 A:MXINT8 KV:MXINT8 b16,mxint,16,False,MXINT4,MXINT8,MXINT8,11.8303,3146.154,4.5,8.5,8.5,695.108,2451.046,19.7,
3,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,11.9244,3653.321,8.25,8.25,8.25,1274.364,2378.957,41.2,
26,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,11.9656,3764.027,8.5,8.5,8.5,1312.981,2451.046,51.2,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b32,mxint,32,True,MXINT4,MXINT8,MXINT4,12.1691,1882.014,4.25,8.25,4.25,656.49,1225.523,33.7,
2,W:MXINT4 A:MXINT8 KV:MXINT8 b32,mxint,32,False,MXINT4,MXINT8,MXINT8,12.2409,3035.447,4.25,8.25,8.25,656.49,2378.957,19.2,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT8 b32,mxint,32,True,MXINT4,MXINT8,MXINT8,12.4189,3035.447,4.25,8.25,8.25,656.49,2378.957,29.0,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b64,mxint,64,True,MXINT4,MXINT8,MXINT4,12.5816,1826.66,4.125,8.125,4.125,637.182,1189.478,4812.1,
49,W:MXINT4 A:MXINT8 KV:MXINT8 b64,mxint,64,False,MXINT4,MXINT8,MXINT8,12.6797,2980.094,4.125,8.125,8.125,637.182,2342.912,22.9,
299,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E4M3,MXFP_E4M3,MXFP_E5M2,13.0971,3653.321,8.25,8.25,8.25,1274.364,2378.957,27.0,
251,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E4M3,MXFP_E4M3,MXFP_E5M2,13.1043,3597.967,8.125,8.125,8.125,1255.055,2342.912,28.2,
391,W:MXINT4 A:MXINT8 KV:MXINT4 b16,mxint,16,False,MXINT4,MXINT8,MXINT4,13.3282,1992.72,4.5,8.5,4.5,695.108,1297.613,17.1,
-1,W:MXINT3(gptq) A:MXINT8 KV:MXINT4 b16,mxint,16,True,MXINT3,MXINT8,MXINT4,13.7228,1838.252,3.5,8.5,4.5,540.639,1297.613,7761.4,
321,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E5M2,MXFP_E4M3,MXFP_E4M3,14.247,3597.967,8.125,8.125,8.125,1255.055,2342.912,27.9,
81,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E4M3,14.294,3653.321,8.25,8.25,8.25,1274.364,2378.957,40.6,
262,W:MXINT8 A:MXINT4 KV:MXINT8 b16,mxint,16,False,MXINT8,MXINT4,MXINT8,14.8506,3764.027,8.5,4.5,8.5,1312.981,2451.046,17.1,
1,W:MXINT4 A:MXINT8 KV:MXINT4 b32,mxint,32,False,MXINT4,MXINT8,MXINT4,14.923,1882.014,4.25,8.25,4.25,656.49,1225.523,19.1,
160,W:MXINT8 A:MXINT8 KV:MXINT4 b64,mxint,64,False,MXINT8,MXINT8,MXINT4,16.3726,2444.534,8.125,8.125,4.125,1255.055,1189.478,17.0,
7,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.7729,3597.967,8.125,8.125,8.125,1255.055,2342.912,48.0,
30,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.7769,3653.321,8.25,8.25,8.25,1274.364,2378.957,48.5,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT3 b16,mxint,16,True,MXINT4,MXINT8,MXINT3,16.8032,1704.362,4.5,8.5,3.5,695.108,1009.254,8274.0,
265,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.8745,3764.027,8.5,8.5,8.5,1312.981,2451.046,27.4,
120,W:MXINT8 A:MXINT4 KV:MXINT4 b16,mxint,16,False,MXINT8,MXINT4,MXINT4,18.1898,2610.594,8.5,4.5,4.5,1312.981,1297.613,18.9,
315,W:MXINT8 A:MXINT4 KV:MXINT8 b32,mxint,32,False,MXINT8,MXINT4,MXINT8,18.7049,3653.321,8.25,4.25,8.25,1274.364,2378.957,17.2,
123,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,18.947,3653.321,8.25,8.25,8.25,1274.364,2378.957,45.4,
78,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,19.0066,3597.967,8.125,8.125,8.125,1255.055,2342.912,44.6,
46,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,19.0618,3764.027,8.5,8.5,8.5,1312.981,2451.046,44.6,
207,W:MXINT3 A:MXINT8 KV:MXINT8 b16,mxint,16,False,MXINT3,MXINT8,MXINT8,19.6369,2991.686,3.5,8.5,8.5,540.639,2451.046,18.0,
165,W:MXINT8 A:MXINT8 KV:MXINT3 b16,mxint,16,False,MXINT8,MXINT8,MXINT3,20.6445,2322.235,8.5,8.5,3.5,1312.981,1009.254,17.8,
14,W:MXINT4 A:MXINT4 KV:MXINT4 b16,mxint,16,False,MXINT4,MXINT4,MXINT4,22.9288,1992.72,4.5,4.5,4.5,695.108,1297.613,18.2,
32,W:MXINT4 A:MXINT8 KV:MXINT4 b64,mxint,64,False,MXINT4,MXINT8,MXINT4,23.3718,1826.66,4.125,8.125,4.125,637.182,1189.478,21.4,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT3 b32,mxint,32,True,MXINT4,MXINT8,MXINT3,23.7376,1593.655,4.25,8.25,3.25,656.49,937.165,4562.5,
33,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E4M3,MXFP_E5M2,MXFP_E5M2,25.0537,3764.027,8.5,8.5,8.5,1312.981,2451.046,45.8,
364,W:MXINT3 A:MXINT8 KV:MXINT4 b16,mxint,16,False,MXINT3,MXINT8,MXINT4,25.5899,1838.252,3.5,8.5,4.5,540.639,1297.613,17.9,
196,W:MXINT4 A:MXINT8 KV:MXINT3 b16,mxint,16,False,MXINT4,MXINT8,MXINT3,26.6091,1704.362,4.5,8.5,3.5,695.108,1009.254,17.2,
114,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E5M2,MXFP_E5M2,MXFP_E4M3,29.8281,3597.967,8.125,8.125,8.125,1255.055,2342.912,43.2,
276,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E5M2,MXFP_E5M2,MXFP_E4M3,29.9265,3764.027,8.5,8.5,8.5,1312.981,2451.046,26.7,
115,W:MXINT8 A:MXINT4 KV:MXINT8 b64,mxint,64,False,MXINT8,MXINT4,MXINT8,31.8295,3597.967,8.125,4.125,8.125,1255.055,2342.912,22.7,
346,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E1M2,MXFP_E4M3,MXFP_E5M2,32.4801,3146.154,4.5,8.5,8.5,695.108,2451.046,27.1,
72,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E1M2 b16,mxfp,16,False,MXFP_E5M2,MXFP_E4M3,MXFP_E1M2,34.6105,2610.594,8.5,8.5,4.5,1312.981,1297.613,47.4,
8,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,37.499,3035.447,4.25,8.25,8.25,656.49,2378.957,51.6,
149,W:MXINT8 A:MXINT8 KV:MXINT3 b32,mxint,32,False,MXINT8,MXINT8,MXINT3,40.1786,2211.529,8.25,8.25,3.25,1274.364,937.165,17.5,
107,W:MXINT3 A:MXINT8 KV:MXINT8 b64,mxint,64,False,MXINT3,MXINT8,MXINT8,40.833,2825.626,3.125,8.125,8.125,482.714,2342.912,21.0,
177,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E5M2,MXFP_E5M2,MXFP_E5M2,41.1093,3597.967,8.125,8.125,8.125,1255.055,2342.912,28.5,
139,W:MXINT4 A:MXINT4 KV:MXINT4 b32,mxint,32,False,MXINT4,MXINT4,MXINT4,43.2527,1882.014,4.25,4.25,4.25,656.49,1225.523,17.1,
156,W:MXINT8 A:MXINT4 KV:MXINT3 b16,mxint,16,False,MXINT8,MXINT4,MXINT3,48.447,2322.235,8.5,4.5,3.5,1312.981,1009.254,17.5,
75,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E1M2,MXFP_E4M3,MXFP_E5M2,48.5764,3035.447,4.25,8.25,8.25,656.49,2378.957,51.7,
223,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E1M2 b32,mxfp,32,False,MXFP_E4M3,MXFP_E4M3,MXFP_E1M2,50.7018,2499.887,8.25,8.25,4.25,1274.364,1225.523,27.1,
18,W:MXINT4 A:MXINT4 KV:MXINT8 b64,mxint,64,False,MXINT4,MXINT4,MXINT8,52.3505,2980.094,4.125,4.125,8.125,637.182,2342.912,21.9,
194,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E1M2 b16,mxfp,16,False,MXFP_E4M3,MXFP_E5M2,MXFP_E1M2,56.4178,2610.594,8.5,8.5,4.5,1312.981,1297.613,27.1,
385,W:MXINT4 A:MXINT8 KV:MXINT3 b32,mxint,32,False,MXINT4,MXINT8,MXINT3,56.6039,1593.655,4.25,8.25,3.25,656.49,937.165,17.3,
70,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,56.7373,2980.094,4.125,8.125,8.125,637.182,2342.912,47.7,
142,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E1M2 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E1M2,60.7058,2499.887,8.25,8.25,4.25,1274.364,1225.523,27.0,
77,W:MXINT4 A:MXINT4 KV:MXINT3 b16,mxint,16,False,MXINT4,MXINT4,MXINT3,67.9322,1704.362,4.5,4.5,3.5,695.108,1009.254,20.5,
79,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E1M2 b16,mxfp,16,False,MXFP_E5M2,MXFP_E5M2,MXFP_E1M2,88.0411,2610.594,8.5,8.5,4.5,1312.981,1297.613,44.3,
204,W:MXFP_E1M2 A:MXFP_E5M2 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E1M2,MXFP_E5M2,MXFP_E4M3,89.0551,3035.447,4.25,8.25,8.25,656.49,2378.957,26.6,
354,W:MXINT8 A:MXINT3 KV:MXINT8 b16,mxint,16,False,MXINT8,MXINT3,MXINT8,90.0807,3764.027,8.5,3.5,8.5,1312.981,2451.046,17.3,
59,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E1M2,MXFP_E4M3,111.9749,3764.027,8.5,4.5,8.5,1312.981,2451.046,52.3,
24,W:MXINT8 A:MXINT4 KV:MXINT4 b64,mxint,64,False,MXINT8,MXINT4,MXINT4,112.1331,2444.534,8.125,4.125,4.125,1255.055,1189.478,23.6,
190,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E2M1 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E2M1,112.8743,2499.887,8.25,8.25,4.25,1274.364,1225.523,26.8,
113,W:MXFP_E1M2 A:MXFP_E5M2 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E1M2,MXFP_E5M2,MXFP_E5M2,116.5081,3035.447,4.25,8.25,8.25,656.49,2378.957,39.9,
183,W:MXFP_E5M2 A:MXFP_E1M2 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E5M2,MXFP_E1M2,MXFP_E4M3,122.6402,3764.027,8.5,4.5,8.5,1312.981,2451.046,27.8,
62,W:MXFP_E1M2 A:MXFP_E5M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E1M2,MXFP_E5M2,MXFP_E4M3,124.9706,2980.094,4.125,8.125,8.125,637.182,2342.912,56.8,
392,W:MXINT3 A:MXINT4 KV:MXINT8 b32,mxint,32,False,MXINT3,MXINT4,MXINT8,125.8559,2880.979,3.25,4.25,8.25,502.022,2378.957,17.6,
173,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E1M2 b32,mxfp,32,False,MXFP_E5M2,MXFP_E5M2,MXFP_E1M2,133.7537,2499.887,8.25,8.25,4.25,1274.364,1225.523,27.0,
356,W:MXINT4 A:MXINT3 KV:MXINT8 b16,mxint,16,False,MXINT4,MXINT3,MXINT8,134.9126,3146.154,4.5,3.5,8.5,695.108,2451.046,18.2,
306,W:MXINT8 A:MXINT8 KV:MXINT3 b64,mxint,64,False,MXINT8,MXINT8,MXINT3,137.39,2156.175,8.125,8.125,3.125,1255.055,901.12,17.2,
250,W:MXINT8 A:MXINT3 KV:MXINT4 b16,mxint,16,False,MXINT8,MXINT3,MXINT4,138.537,2610.594,8.5,3.5,4.5,1312.981,1297.613,17.8,
27,W:MXINT8 A:MXINT4 KV:MXINT3 b32,mxint,32,False,MXINT8,MXINT4,MXINT3,148.8795,2211.529,8.25,4.25,3.25,1274.364,937.165,18.9,
13,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E1M2 b64,mxfp,64,False,MXFP_E4M3,MXFP_E4M3,MXFP_E1M2,153.8896,2444.534,8.125,8.125,4.125,1255.055,1189.478,52.4,
10,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E1M2 b64,mxfp,64,False,MXFP_E5M2,MXFP_E4M3,MXFP_E1M2,187.6665,2444.534,8.125,8.125,4.125,1255.055,1189.478,47.9,
192,W:MXINT4 A:MXINT4 KV:MXINT4 b64,mxint,64,False,MXINT4,MXINT4,MXINT4,196.1236,1826.66,4.125,4.125,4.125,637.182,1189.478,17.3,
292,W:MXINT4 A:MXINT8 KV:MXINT3 b64,mxint,64,False,MXINT4,MXINT8,MXINT3,208.3656,1538.302,4.125,8.125,3.125,637.182,901.12,17.7,
9,W:MXINT3 A:MXINT8 KV:MXINT4 b64,mxint,64,False,MXINT3,MXINT8,MXINT4,215.2761,1672.192,3.125,8.125,4.125,482.714,1189.478,20.5,
143,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E2M1 b64,mxfp,64,False,MXFP_E4M3,MXFP_E4M3,MXFP_E2M1,221.6497,2444.534,8.125,8.125,4.125,1255.055,1189.478,28.4,
318,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E1M2 b64,mxfp,64,False,MXFP_E4M3,MXFP_E5M2,MXFP_E1M2,225.8614,2444.534,8.125,8.125,4.125,1255.055,1189.478,28.0,
340,W:MXINT4 A:MXINT4 KV:MXINT3 b32,mxint,32,False,MXINT4,MXINT4,MXINT3,261.3352,1593.655,4.25,4.25,3.25,656.49,937.165,17.4,
93,W:MXINT3 A:MXINT4 KV:MXINT4 b32,mxint,32,False,MXINT3,MXINT4,MXINT4,262.4032,1727.545,3.25,4.25,4.25,502.022,1225.523,19.1,
17,W:MXFP_E2M1 A:MXFP_E4M3 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E2M1,MXFP_E4M3,MXFP_E4M3,262.4856,3146.154,4.5,8.5,8.5,695.108,2451.046,50.9,
245,W:MXINT8 A:MXINT3 KV:MXINT8 b32,mxint,32,False,MXINT8,MXINT3,MXINT8,282.3914,3653.321,8.25,3.25,8.25,1274.364,2378.957,17.3,
137,W:MXFP_E1M2 A:MXFP_E5M2 KV:MXFP_E2M1 b16,mxfp,16,False,MXFP_E1M2,MXFP_E5M2,MXFP_E2M1,282.5687,1992.72,4.5,8.5,4.5,695.108,1297.613,26.6,
159,W:MXFP_E5M2 A:MXFP_E5M2 KV:MXFP_E1M2 b64,mxfp,64,False,MXFP_E5M2,MXFP_E5M2,MXFP_E1M2,287.4867,2444.534,8.125,8.125,4.125,1255.055,1189.478,28.0,
336,W:MXFP_E5M2 A:MXFP_E1M2 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E5M2,MXFP_E1M2,MXFP_E5M2,308.61,3653.321,8.25,4.25,8.25,1274.364,2378.957,27.2,
119,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E4M3,MXFP_E1M2,MXFP_E4M3,318.7452,3653.321,8.25,4.25,8.25,1274.364,2378.957,56.1,
106,W:MXFP_E5M2 A:MXFP_E1M2 KV:MXFP_E2M1 b16,mxfp,16,False,MXFP_E5M2,MXFP_E1M2,MXFP_E2M1,342.4875,2610.594,8.5,4.5,4.5,1312.981,1297.613,49.5,
241,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E2M1 b16,mxfp,16,False,MXFP_E4M3,MXFP_E1M2,MXFP_E2M1,344.8596,2610.594,8.5,4.5,4.5,1312.981,1297.613,27.0,
231,W:MXFP_E2M1 A:MXFP_E4M3 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E2M1,MXFP_E4M3,MXFP_E5M2,347.248,3146.154,4.5,8.5,8.5,695.108,2451.046,27.5,
66,W:MXFP_E5M2 A:MXFP_E1M2 KV:MXFP_E1M2 b16,mxfp,16,False,MXFP_E5M2,MXFP_E1M2,MXFP_E1M2,385.7299,2610.594,8.5,4.5,4.5,1312.981,1297.613,56.2,
44,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E1M2 b32,mxfp,32,False,MXFP_E1M2,MXFP_E4M3,MXFP_E1M2,405.9681,1882.014,4.25,8.25,4.25,656.49,1225.523,45.5,
373,W:MXINT3 A:MXINT4 KV:MXINT8 b64,mxint,64,False,MXINT3,MXINT4,MXINT8,430.9027,2825.626,3.125,4.125,8.125,482.714,2342.912,17.9,
171,W:MXINT3 A:MXINT3 KV:MXINT8 b16,mxint,16,False,MXINT3,MXINT3,MXINT8,453.7957,2991.686,3.5,3.5,8.5,540.639,2451.046,17.9,
98,W:MXINT4 A:MXINT3 KV:MXINT8 b32,mxint,32,False,MXINT4,MXINT3,MXINT8,456.0793,3035.447,4.25,3.25,8.25,656.49,2378.957,18.4,
360,W:MXINT8 A:MXINT3 KV:MXINT4 b32,mxint,32,False,MXINT8,MXINT3,MXINT4,460.2476,2499.887,8.25,3.25,4.25,1274.364,1225.523,17.3,
352,W:MXFP_E1M2 A:MXFP_E4M3 KV:MXFP_E2M1 b32,mxfp,32,False,MXFP_E1M2,MXFP_E4M3,MXFP_E2M1,481.0638,1882.014,4.25,8.25,4.25,656.49,1225.523,27.1,
145,W:MXFP_E2M1 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E2M1,MXFP_E4M3,MXFP_E5M2,567.1965,3035.447,4.25,8.25,8.25,656.49,2378.957,26.9,
273,W:MXFP_E2M1 A:MXFP_E4M3 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E2M1,MXFP_E4M3,MXFP_E4M3,652.9944,2980.094,4.125,8.125,8.125,637.182,2342.912,27.8,
227,W:MXINT8 A:MXINT8 KV:MXINT2 b16,mxint,16,False,MXINT8,MXINT8,MXINT2,715.1906,2033.877,8.5,8.5,2.5,1312.981,720.896,17.2,
132,W:MXFP_E5M2 A:MXFP_E1M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E5M2,MXFP_E1M2,MXFP_E4M3,737.9836,3597.967,8.125,4.125,8.125,1255.055,2342.912,28.1,
154,W:MXINT4 A:MXINT3 KV:MXINT4 b32,mxint,32,False,MXINT4,MXINT3,MXINT4,740.5347,1882.014,4.25,3.25,4.25,656.49,1225.523,17.4,
19,W:MXFP_E2M1 A:MXFP_E4M3 KV:MXFP_E1M2 b16,mxfp,16,False,MXFP_E2M1,MXFP_E4M3,MXFP_E1M2,787.7466,1992.72,4.5,8.5,4.5,695.108,1297.613,43.8,
99,W:MXINT8 A:MXINT8 KV:MXINT2 b32,mxint,32,False,MXINT8,MXINT8,MXINT2,807.0078,1923.17,8.25,8.25,2.25,1274.364,648.806,18.9,
11,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E4M3,MXFP_E1M2,MXFP_E5M2,915.1951,3597.967,8.125,4.125,8.125,1255.055,2342.912,54.2,
389,W:MXINT4 A:MXINT8 KV:MXINT2 b16,mxint,16,False,MXINT4,MXINT8,MXINT2,1002.6797,1416.004,4.5,8.5,2.5,695.108,720.896,17.8,
29,W:MXINT4 A:MXINT8 KV:MXINT2 b32,mxint,32,False,MXINT4,MXINT8,MXINT2,1090.9711,1305.297,4.25,8.25,2.25,656.49,648.806,19.8,
21,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E2M1 b32,mxfp,32,False,MXFP_E4M3,MXFP_E1M2,MXFP_E2M1,1106.4823,2499.887,8.25,4.25,4.25,1274.364,1225.523,51.2,
337,W:MXINT8 A:MXINT4 KV:MXINT2 b16,mxint,16,False,MXINT8,MXINT4,MXINT2,1141.7457,2033.877,8.5,4.5,2.5,1312.981,720.896,17.5,
15,W:MXINT4 A:MXINT4 KV:MXINT3 b64,mxint,64,False,MXINT4,MXINT4,MXINT3,1158.7056,1538.302,4.125,4.125,3.125,637.182,901.12,22.5,
275,W:MXFP_E4M3 A:MXFP_E2M1 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E2M1,MXFP_E4M3,1200.1431,3764.027,8.5,4.5,8.5,1312.981,2451.046,27.4,
23,W:MXINT8 A:MXINT8 KV:MXINT2 b64,mxint,64,False,MXINT8,MXINT8,MXINT2,1226.7907,1867.817,8.125,8.125,2.125,1255.055,612.762,21.7,
61,W:MXFP_E2M1 A:MXFP_E5M2 KV:MXFP_E2M1 b16,mxfp,16,False,MXFP_E2M1,MXFP_E5M2,MXFP_E2M1,1252.4573,1992.72,4.5,8.5,4.5,695.108,1297.613,48.1,
96,W:MXFP_E2M1 A:MXFP_E5M2 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E2M1,MXFP_E5M2,MXFP_E5M2,1314.8662,3035.447,4.25,8.25,8.25,656.49,2378.957,50.6,
201,W:MXINT3 A:MXINT8 KV:MXINT3 b64,mxint,64,False,MXINT3,MXINT8,MXINT3,1390.8176,1383.834,3.125,8.125,3.125,482.714,901.12,17.1,
97,W:MXINT4 A:MXINT3 KV:MXINT8 b64,mxint,64,False,MXINT4,MXINT3,MXINT8,1433.3429,2980.094,4.125,3.125,8.125,637.182,2342.912,18.1,
47,W:MXFP_E4M3 A:MXFP_E1M2 KV:MXFP_E1M2 b32,mxfp,32,False,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,1518.0418,2499.887,8.25,4.25,4.25,1274.364,1225.523,51.9,
118,W:MXFP_E2M1 A:MXFP_E5M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E2M1,MXFP_E5M2,MXFP_E4M3,1519.4712,2980.094,4.125,8.125,8.125,637.182,2342.912,52.9,
314,W:MXINT8 A:MXINT4 KV:MXINT2 b32,mxint,32,False,MXINT8,MXINT4,MXINT2,1525.2023,1923.17,8.25,4.25,2.25,1274.364,648.806,17.3,
53,W:MXFP_E2M1 A:MXFP_E1M2 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E2M1,MXFP_E1M2,MXFP_E5M2,1556.6238,3146.154,4.5,4.5,8.5,695.108,2451.046,44.8,
45,W:MXINT8 A:MXINT3 KV:MXINT3 b32,mxint,32,False,MXINT8,MXINT3,MXINT3,1593.1846,2211.529,8.25,3.25,3.25,1274.364,937.165,18.1,
